ntdid,year,mode,fares
1002,2013,DR,37737
1002,2013,MB,566814
1002,2014,DR,NA
1002,2014,MB,NA
1002,2015,DR,32796
1002,2015,MB,654635
1003,2006,CR,104286465
1003,2006,DR,1661848
1003,2006,FB,6025740
1003,2006,HR,109922405
1003,2006,LR,55719465
1003,2006,MB,62460479
1003,2006,TB,1792105
1003,2007,CR,123020901
1003,2007,DR,1807289
1003,2007,FB,7459565
1003,2007,HR,125471260
1003,2007,LR,65031733
1003,2007,MB,71008548
1003,2007,TB,2077080
1003,2008,CR,135900591
1003,2008,DR,1669088
1003,2008,FB,5960385
1003,2008,HR,156554160
1003,2008,LR,74238640
1003,2008,MB,73171846
1003,2008,TB,2175551
1003,2009,CR,137526369
1003,2009,DR,3302090
1003,2009,FB,5393140
1003,2009,HR,160515594
1003,2009,LR,75225345
1003,2009,MB,71909500
1003,2009,TB,2170181
1003,2010,CR,133495748
1003,2010,DR,3504823
1003,2010,FB,5711433
1003,2010,HR,153168117
1003,2010,LR,69637279
1003,2010,MB,78034486
1003,2010,TB,2156028
1003,2011,CR,135327041
1003,2011,DR,4087164
1003,2011,FB,6008883
1003,2011,HR,156508685
1003,2011,LR,71723787
1003,2011,MB,78918582
1003,2011,TB,2929107
1003,2012,CR,137796392
1003,2012,DR,4621537
1003,2012,FB,5989206
1003,2012,HR,162016921
1003,2012,LR,76335010
1003,2012,MB,82359171
1003,2012,TB,3067088
1003,2013,CR,168961201
1003,2013,DR,7318243
1003,2013,FB,6386225
1003,2013,HR,191852484
1003,2013,LR,89940323
